Index,Id,Name,Location,OZONE_PPM,EpochTime,PM2_5_daily_max,PM2_5_daily_mean,OZONE,CO_PPM,PM25B_UG_M3_daily_mean,OZONE_PPM_daily_median,CO_PPB,PM25B_UG_M3,OZONE_daily_max,OZONE2_PPM,NO_PPB,OZONE_daily_mean,PM25T_UG_M3,PM2_5,OZONE2_PPM_daily_median,PM25B_UG_M3_daily_max,OZONE_PPM_daily_max,SO2_PPB,OZONE_PPM_daily_mean,OZONE_daily_median,PM25B_UG_M3_daily_median,PM10_UG_M3,PM2_5_daily_median,OZONE2_PPM_daily_mean,NO2_PPB,OZONE2_PPM_daily_max,PM10B_UG_M3,Latitude,Longitude
79,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473417000,,,,,,,512.5,,,,7.6,,7,,,,,,,,,,,,16.5,,,40.43743056,-79.86357222
80,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473420600,,,,,,,636.8,,,,8.6,,8,,,,,,,,,,,,15.1,,,40.43743056,-79.86357222
81,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473424200,,,,,,,663.4,,,,14.5,,6,,,,,,,,,,,,14.9,,,40.43743056,-79.86357222
82,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473427800,,,,,,,717.5,,,,15.4,,4,,,,,,,,,,,,16.2,,,40.43743056,-79.86357222
83,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473431400,,,,,,,485.8,,,,14.2,,2,,,,,,,,,,,,13.4,,,40.43743056,-79.86357222
84,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473435000,,,,,,,805.2,,,,22,,8,,,,,,,,,,,,15.3,,,40.43743056,-79.86357222
85,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473438600,,,,,,,817.8,,,,12.5,,7,,,,,,,,,,,,11.9,,,40.43743056,-79.86357222
86,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473442200,,,,,,,246.7,,,,2.4,,9,,,,,,,,,,,,6.4,,,40.43743056,-79.86357222
87,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473445800,,,,,,,438.7,,,,3.8,,8,,,,,,,,,,,,7.5,,,40.43743056,-79.86357222
88,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473449400,,,,,,,998.4,,,,17.2,,23,,,,,,,,,,,,16.3,,,40.43743056,-79.86357222
89,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473453000,,,,,,,1091.5,,,,14.1,,13,,,,,,,,,,,,14.1,,,40.43743056,-79.86357222
90,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473456600,,,,,,,267.3,,,,0.8,,,,,,,,,,,,,,5,,,40.43743056,-79.86357222
91,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473460200,,,,,,,189.9,,,,0.4,,,,,,,,,,,,,,5.1,,,40.43743056,-79.86357222
92,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473463800,,,,,,,325.3,,,,1.2,,5,,,,,,,,,,,,8.6,,,40.43743056,-79.86357222
93,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473467400,,,,,,,232,,,,0.6,,9,,,,,,,,,,,,7,,,40.43743056,-79.86357222
94,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473471000,,,,,,,379.9,,,,0.3,,10,,,,,,,,,,,,7.5,,,40.43743056,-79.86357222
95,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473474600,,,,,,,431.3,,,,0.3,,13,,,,,,,,,,,,10.1,,,40.43743056,-79.86357222
96,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473478200,,,,,,,752.3,,,,0.3,,13,,,,,,,,,,,,6.8,,,40.43743056,-79.86357222
